week,date,ID,treat,totalmass,bagmass,mass,original_mass_2_27,SVL,deltamass,percentofstartweight,percentgrowthrate,notes,crickseaten,cricksfed,propcrick,percpercgrowthrate
1,2_27_2019,11,0,13.05,7.7,5.35,5.35,54.6,,,,,,,,NA
1,2_27_2019,23,0,16.5,7.7,8.8,8.8,61.2,,,,,,,,NA
1,2_27_2019,29,0,13.55,7.75,5.8,5.8,58.7,,,,,,,,
1,2_27_2019,33,0,15.95,7.75,8.2,8.2,58.6,,,,,,,,
1,2_27_2019,35,0,14.05,7.7,6.35,6.35,58.4,,,,,,,,
1,2_27_2019,36,0,14.85,7.7,7.15,7.15,59.3,,,,,,,,
1,2_27_2019,37,0,14.05,7.7,6.35,6.35,58.8,,,,,,,,
1,2_27_2019,45,0,14.45,7.65,6.8,6.8,58.3,,,,,,,,
1,2_27_2019,50,0,13.35,7.75,5.6,5.6,55.4,,,,,,,,
1,2_27_2019,75,0,NA,NA,NA,NA,NA,,,,,,,,
1,2_27_2019,8,0.05,14.75,7.8,6.95,6.95,56.3,,,,,,,,
1,2_27_2019,30,0.05,15.45,7.8,7.65,7.65,63.4,,,,,,,,
1,2_27_2019,34,0.05,15.6,7.8,7.8,7.8,58.1,,,,,,,,
1,2_27_2019,43,0.05,13.85,7.75,6.1,6.1,54.2,,,,,,,,
1,2_27_2019,53,0.05,12.95,7.75,5.2,5.2,58.7,,,,,,,,
1,2_27_2019,55,0.05,13.55,7.8,5.75,5.75,58.5,,,,,,,,
1,2_27_2019,62,0.05,14.25,7.75,6.5,6.5,58,,,,,,,,
1,2_27_2019,65,0.05,12.55,7.7,4.85,4.85,55.9,,,,,,,,
1,2_27_2019,70,0.05,13.6,7.7,5.9,5.9,56.5,,,,,,,,
1,2_27_2019,74,0.05,13.45,7.7,5.75,5.75,57.5,,,,,,,,
1,2_27_2019,5,0.15,13.15,7.65,5.5,5.5,54.7,,,,,,,,
1,2_27_2019,6,0.15,14.5,7.65,6.85,6.85,60,,,,,,,,
1,2_27_2019,10,0.15,14,7.65,6.35,6.35,57.1,,,,,,,,
1,2_27_2019,25,0.15,15.8,7.65,8.15,8.15,61,,,,,,,,
1,2_27_2019,39,0.15,12.75,7.7,5.05,5.05,55.5,,,,,,,,
1,2_27_2019,42,0.15,14.05,7.7,6.35,6.35,59,,,,,,,,
1,2_27_2019,63,0.15,14.2,7.7,6.5,6.5,58.1,,,,,,,,
1,2_27_2019,71,0.15,12.55,7.7,4.85,4.85,56.9,,,,,,,,
1,2_27_2019,79,0.15,13.55,7.65,5.9,5.9,55.7,,,,,,,,
1,2_27_2019,80,0.15,13.6,7.65,5.95,5.95,60.2,,,,,,,,
1,2_27_2019,16,0.45,12.95,7.65,5.3,5.3,55.1,,,,,,,,
1,2_27_2019,26,0.45,14.85,7.65,7.2,7.2,58.6,,,,,,,,
1,2_27_2019,28,0.45,14.25,7.7,6.55,6.55,61.4,,,,,,,,
1,2_27_2019,32,0.45,15.95,7.6,8.35,8.35,63.3,,,,,,,,
1,2_27_2019,40,0.45,13.4,7.6,5.8,5.8,57.9,,,,,,,,
1,2_27_2019,44,0.45,14.3,7.6,6.7,6.7,60.1,,,,,,,,
1,2_27_2019,57,0.45,12.8,7.6,5.2,5.2,56.2,,,,,,,,
1,2_27_2019,72,0.45,12.7,7.6,5.1,5.1,59.6,,,,,,,,
1,2_27_2019,76,0.45,13.65,7.6,6.05,6.05,58.7,,,,,,,,
1,2_27_2019,81,0.45,12.2,7.6,4.6,4.6,55.5,,,,,,,,
1,2_27_2019,13,1.35,13.15,7.65,5.5,5.5,55.3,,,,,,,,
1,2_27_2019,22,1.35,15.55,7.65,7.9,7.9,60.3,,,,,,,,
1,2_27_2019,24,1.35,14.05,7.65,6.4,6.4,59.6,,,,,,,,
1,2_27_2019,27,1.35,13.75,7.7,6.05,6.05,55.3,,,,,,,,
