date,samplingevent,group ,lizardbatch,lizardnumber,totalmass,bagmass,lizardmass,treat,samplingevent2,exposure,exposure2
9/19/2017,1,b,2,1,10.05,7.75,2.3,0,-2,n,n
9/19/2017,1,b,2,2,11.7,7.75,3.95,2,-2,n,n
9/19/2017,1,b,2,3,9.85,7.75,2.1,0.02,-2,n,n
9/19/2017,1,b,2,4,12.55,7.75,4.8,0.2,-2,n,n
9/19/2017,1,b,2,5,10.9,7.75,3.15,2,-2,n,n
9/19/2017,1,b,2,6,12.55,7.75,4.8,2,-2,n,n
9/19/2017,1,b,2,7,10.15,7.75,2.4,0,-2,n,n
9/19/2017,1,b,2,8,10.5,7.75,2.75,0.2,-2,n,n
9/19/2017,1,b,2,9,12.95,7.75,5.2,0.02,-2,n,n
9/19/2017,1,b,2,10,12.15,7.75,4.4,0.2,-2,n,n
9/19/2017,1,b,2,11,10.45,7.75,2.7,0,-2,n,n
9/19/2017,1,b,2,12,9.8,7.75,2.05,2,-2,n,n
9/19/2017,1,b,2,13,10.85,7.75,3.1,0,-2,n,n
9/19/2017,1,b,2,14,9.8,7.75,2.05,0.2,-2,n,n
9/19/2017,1,b,2,15,12.15,7.75,4.4,0.02,-2,n,n
9/19/2017,1,b,2,16,10.3,7.75,2.55,0.2,-2,n,n
9/19/2017,1,b,2,17,10.55,7.75,2.8,0.02,-2,n,n
9/19/2017,1,b,2,18,12.35,7.75,4.6,0.2,-2,n,n
9/19/2017,1,b,2,19,10.8,7.75,3.05,0,-2,n,n
9/19/2017,1,b,2,20,10.1,7.75,2.35,0.2,-2,n,n
9/19/2017,1,b,2,21,10.6,7.75,2.85,2,-2,n,n
9/19/2017,1,b,2,22,11.9,7.75,4.15,0.02,-2,n,n
9/19/2017,1,b,2,23,11.6,7.75,3.85,0,-2,n,n
9/19/2017,1,b,2,24,10.5,7.75,2.75,2,-2,n,n
9/19/2017,1,b,2,25,10.55,7.75,2.8,0.02,-2,n,n
9/19/2017,1,b,2,26,9.75,7.75,2,0.2,-2,n,n
9/19/2017,1,b,2,27,10.8,7.75,3.05,0.2,-2,n,n
9/19/2017,1,b,2,28,12.5,7.75,4.75,0,-2,n,n
9/19/2017,1,b,2,29,11.25,7.75,3.5,2,-2,n,n
9/19/2017,1,b,2,30,10.3,7.75,2.55,0.02,-2,n,n
9/19/2017,1,b,2,31,11.3,7.75,3.55,2,-2,n,n
9/19/2017,1,b,2,32,10,7.75,2.25,0,-2,n,n
9/19/2017,1,b,2,33,10.95,7.75,3.2,0.02,-2,n,n
9/19/2017,1,b,2,34,10.4,7.75,2.65,2,-2,n,n
9/19/2017,1,b,2,35,12,7.75,4.25,2,-2,n,n
9/19/2017,1,b,2,36,10.9,7.75,3.15,0,-2,n,n
9/19/2017,1,b,2,37,11.35,7.75,3.6,0.02,-2,n,n
9/19/2017,1,b,2,38,11.15,7.75,3.4,0,-2,n,n
