ID,Lizardcode,treat,TimeofDeath,blood,muscle,liver,spleen,kidney,gonad,Notes,mass
1,B-2-1,0,10:21,100,0.05186,0.0909,0.00106,0.01734,0.03221,,3.65
2,B-2-2,2,10:30,50,0.07253,0.08773,0.00102,0.01702,0.08572,,4.5
3,B-2-3,0.02,10:42,50,0.04701,0.13902,0.00176,0.01942,0.06712,,4.3
4,B-2-4,0.2,10:42,50,0.09365,0.08508,0.00055,0.00912,0.03783,,4.5
5,B-2-5,2,11:06,75,0.10638,0.10789,0.00102,0.03201,0.07518,,5.4
6,B-2-6,2,11:06,25,0.0396,0.03207,,0.02402,0.00293,Nasty black insides ,3.05
7,B-2-7,0,11:21,25,0.02529,0.05775,,0.03514,0.04247,,3
8,B-2-8,0.2,11:24,75,0.0933,0.11216,,0.01464,0.05169,,4.8
9,B-2-9,0.02,11:27,75,0.08493,0.09938,0.00031,0.01634,0.02458,,6.05
10,B-2-10,0.2,11:37,75,0.08918,0.168,0.00124,0.02763,0.09381,,6.3
11,B-2-11,0,11:46,50,0.08366,0.10321,0.00067,0.01379,0.03432,,4.3
12,B-2-12,2,11:54,50,0.03483,0.11785,0.00052,0.00629,0.07013,,2.6
13,B-2-13,0,12:00,75,0.07707,0.11251,0.00095,0.01952,0.07814,,5.45
14,B-2-14,0.2,12:08,50,0.04041,0.08732,0.00089,0.01299,0.06018,,3.05
15,B-2-15,0.02,12:11,75,0.07995,0.18103,0.00145,0.07054,0.06082,,5.8
16,B-2-16,0.2,12:25,50,0.05804,0.08087,0.00012,0.00907,0.02922,,3.9
17,B-2-17,0.02,13:01,50,0.05847,0.05863,0.00019,0.01339,0.05721,,3.7
18,B-2-18,0.2,13:11,100,0.07792,0.14411,,0.04942,0.08357,,5.7
19,B-2-19,0,13:17,75,0.11036,0.10631,0.00031,0.02101,0.05114,,5.05
20,B-2-20,0.2,13:22,25,0.03314,0.04813,,0.00878,0.00755,,2.6
21,B-2-21,2,13:28,25,0.01927,0.03479,0.00076,0.00448,0.03992,Bad looking kidneys,2.65
22,B-2-22,0.02,13:33,50,0.05233,0.10725,0.00052,0.01055,0.02948,,4.95
23,B-2-23,0,13:39,50,0.11387,0.17715,0.00039,0.02189,0.09127,healthy looking organs,5.85
24,B-2-24,2,13:44,25,0.04345,0.05063,0.00038,0.00677,0.0227,,3.2
25,B-2-25,0.02,13:49,25,0.06582,0.11147,0.00058,0.01727,0.02239,,4.15
26,B-2-26,0.2,13:54,25,0.04701,0.06586,,0.00394,0.02546,,2.75
27,B-2-27,0.2,14:00,50,0.07835,0.07751,0.00041,0.01496,0.02358,,5.15
28,B-2-28,0,15:00,75,0.11658,0.1624,0.00089,0.04347,0.05176,,5.85
29,B-2-29,2,15:07,25,0.08711,0.10212,0.00135,0.04585,0.07795,Bloody liver,4.9
30,B-2-30,0.02,15:11,50,0.06557,0.11228,,0.01308,0.08062,,4
31,B-2-31,2,15:17,25,0.09659,0.11887,0.00154,0.01846,0.07677,,4.65
32,B-2-32,0,15:24,50,0.03281,0.10005,0.00052,0.00838,0.23655,Female,3.1
33,B-2-33,0.02,15:30,50,0.0598,0.1375,0.00038,0.02998,0.05927,,5.05
34,B-2-34,2,15:39,25,0.06362,0.09471,0.00269,0.02397,0.05301,,3.9
35,B-2-35,2,15:44,50,0.05497,0.05958,,0.01425,0.02726,"Full of fluid, bloody liver",4.85
36,B-2-36,0,13:51,25,0.0457,0.12176,,0.02257,0.04509,,4.65
37,B-2-37,0.02,13:55,25,0.10942,0.08076,0.00184,0.02206,0.03614,,5.7
38,B-2-38,0,16:03,50,0.09364,0.12339,0.00053,0.02817,0.08073,,5.05
39,B-2-39,0.2,16:07,50,0.11035,0.11802,0.00173,0.03437,0.07166,,5.15
40,B-2-40,0.02,16:15,75,0.08558,0.08462,0.00103,0.02567,0.0387,,4.65
