date,massevent,time,group,dose,lizID,startmass,totalmass,bagmass,lizmass,deltalizardmass,percentofstartweight,percentgrowthrate,Notes,
2/14/2018,1,10:18,B-3,cont,3,5.2,13,7.8,5.2,0,1,1,,
2/14/2018,1,10:31,B-3,cont,4,2.8,10.65,7.85,2.8,0,1,1,,
2/14/2018,1,10:34,B-3,cont,8,1.3,9.1,7.8,1.3,0,1,1,,
2/14/2018,1,10:36,B-3,cont,12,2.1,9.95,7.85,2.1,0,1,1,,
2/14/2018,1,10:39,B-3,cont,17,1.45,9.3,7.85,1.45,0,1,1,,
2/14/2018,1,10:42,B-3,cont,20,5.25,13.05,7.8,5.25,0,1,1,,
2/14/2018,1,10:45,B-3,cont,24,3.35,11.15,7.8,3.35,0,1,1,,
2/14/2018,1,10:48,B-3,cont,25,0.8,8.6,7.8,0.8,0,1,1,,
2/14/2018,1,10:50,B-3,cont,27,1.55,9.35,7.8,1.55,0,1,1,,
2/14/2018,1,10:55,B-3,cont,31,1.95,9.75,7.8,1.95,0,1,1,,
2/14/2018,1,10:58,B-3,PFOS,1,1.5,9.3,7.8,1.5,0,1,1,,
2/14/2018,1,11:01,B-3,PFOS,2,1.95,9.75,7.8,1.95,0,1,1,,
2/14/2018,1,11:04,B-3,PFOS,5,1.8,9.6,7.8,1.8,0,1,1,,
2/14/2018,1,11:06,B-3,PFOS,6,2.35,10.15,7.8,2.35,0,1,1,,
2/14/2018,1,11:09,B-3,PFOS,7,3.65,11.45,7.8,3.65,0,1,1,,
2/14/2018,1,11:12,B-3,PFOS,9,3.1,10.9,7.8,3.1,0,1,1,,
2/14/2018,1,11:15,B-3,PFOS,10,2.05,9.85,7.8,2.05,0,1,1,,
2/14/2018,1,11:17,B-3,PFOS,11,2.5,10.3,7.8,2.5,0,1,1,,
2/14/2018,1,11:20,B-3,PFOS,13,1.4,9.2,7.8,1.4,0,1,1,,
2/14/2018,1,11:22,B-3,PFOS,14,2.9,10.7,7.8,2.9,0,1,1,,
2/14/2018,1,11:26,B-3,PFOS,15,3.75,11.55,7.8,3.75,0,1,1,,
2/14/2018,1,11:29,B-3,PFOS,16,1.9,9.7,7.8,1.9,0,1,1,,
2/14/2018,1,11:31,B-3,PFOS,18,1.25,9.05,7.8,1.25,0,1,1,,
2/14/2018,1,11:35,B-3,PFOS,19,3.7,11.5,7.8,3.7,0,1,1,,
2/14/2018,1,11:37,B-3,PFOS,21,4.4,12.2,7.8,4.4,0,1,1,,
2/14/2018,1,11:39,B-3,PFOS,22,3.35,11.15,7.8,3.35,0,1,1,,
2/14/2018,1,11:42,B-3,PFOS,23,2.75,10.55,7.8,2.75,0,1,1,,
2/14/2018,1,11:46,B-3,PFOS,26,5.35,13.15,7.8,5.35,0,1,1,,
2/14/2018,1,11:50,B-3,PFOS,28,1.2,9,7.8,1.2,0,1,1,,
2/14/2018,1,11:54,B-3,PFOS,29,1.4,9.2,7.8,1.4,0,1,1,,
