liznum,deathtime,treat,SVL,mass,livmass,skinmass,GImass,bodysampmass,sumtissuemass,notes,dateofnecrops,day,sex,meanpercentstartweight,meanpercentgrowthrate,meandeltalizardmass,startingmass,rawmasschange,percrawmasschange,logpercrawmasschange,massgchangedailyrate,logpercmasschangedailyrate
1,9:56,pfos,41.1,2.25,0.10192,0.06449,0.18576,1.78936,2.14153,Female/healthy looking liver,4/16/2018,60,f,1.1583333,1.0569659,0.06875,1.5,0.75,1.5,0.405465108,0.0125,0.006757752
2,10:05,pfos,47.1,2.95,0.06712,0.10412,0.20476,2.44511,2.82111,healthy looking liver,4/16/2018,60,m,1.2275641,1.067917,0.1375,1.95,1,1.512820513,0.413975798,0.016666667,0.006899597
3,9:23,cont,55.3,4.65,0.10823,0.04023,0.61079,3.80638,4.56563,,,90,m,0.8846154,0.9881385,-0.0625,5.2,-0.55,0.894230769,-0.111791406,-0.006111111,-0.001242127
4,9:28,cont,51,3,0.05973,0.04365,0.21385,2.62307,2.9403,,,90,,1.1235119,1.0152305,0.02916667,2.8,0.2,1.071428571,0.068992871,0.002222222,0.000766587
5,9:31,pfos,42.9,1.6,0.02367,0.00642,0.19165,1.05203,1.27377,DARK LIVER,,30,m,0.9444444,0.9954052,-0.04,1.8,-0.2,0.888888889,-0.117783036,-0.006666667,-0.003926101
7,9:36,pfos,55,3.65,0.06208,0.03364,0.22083,3.25925,3.5758,,,90,,1.0011416,1.0072414,0.01666667,3.65,0,1,0,0,0
8,9:45,cont,41.9,2.1,0.04406,0.05009,0.15781,1.74119,1.99315,,,90,,1.4519231,1.046449,0.06666667,1.3,0.8,1.615384615,0.47957308,0.008888889,0.00532859
9,9:40,pfos,50,3.1,0.03526,0.0474,0.18385,2.56763,2.83414,VERY DARK LIVER,,30,m,1.0225806,1.0020454,0,3.1,0,1,0,0,0
10,9:51,pfos,39.3,1.85,0.08258,0.01003,0.17928,1.81439,2.08628,Female/healthy looking liver,,30,f,0.995122,0.9854284,-0.04,2.05,-0.2,0.902439024,-0.102654154,-0.006666667,-0.003421805
11,9:51,pfos,51.6,3.25,0.06152,0.04811,0.18889,2.91101,3.20953,,,90,,1.2533333,1.0320529,0.08333333,2.5,0.75,1.3,0.262364264,0.008333333,0.002915158
12,10:00,cont,47.2,2.65,0.05884,0.02836,0.24399,2.25543,2.58662,,,90,,1.1269841,1.0212262,0.02916667,2.1,0.55,1.261904762,0.232622295,0.006111111,0.002584692
14,10:11,pfos,52.6,3.7,0.07084,0.08072,0.14715,3.29336,3.59207,Dark Red Liver,4/16/2018,60,m,1.1573276,1.0426461,0.11875,2.9,0.8,1.275862069,0.243622083,0.013333333,0.004060368
15,10:17,pfos,49.3,3.75,0.07656,0.03919,0.16835,3.34067,3.62477,Dark Red Liver,4/16/2018,60,m,1.0233333,1.0109698,0.03125,3.75,0,1,0,0,0
16,10:07,pfos,49,2.85,0.06641,0.03771,0.21201,2.43379,2.74992,,,90,,1.3048246,1.043853,0.0875,1.9,0.95,1.5,0.405465108,0.010555556,0.004505168
